epoch,loss,loss_content,loss_structure,loss_ssim_gfp,loss_ssim_pci,loss_RMI_gfp,loss_RMI_pci,loss_intensity_gfp,loss_intensity_pci,loss_grad
1,3.458102175,1.955653632,1.201958834,0.87012936,0.319177658,0.711402728,1.172483141,0.130086369,0.013449158,0.012651816
2,3.235016998,1.897189897,1.07026168,0.864520426,0.193884102,0.71260612,1.112316688,0.13210393,0.012430249,0.011857152
3,3.104867413,1.805712479,1.039323944,0.86850575,0.15890104,0.713164438,1.019863128,0.133362774,0.012007052,0.011917154
4,3.069585243,1.789769504,1.023852592,0.871742792,0.14035335,0.713410592,1.003973296,0.133863154,0.010908078,0.01175645
5,2.99723298,1.779405393,0.97426207,0.851722367,0.111092521,0.712529868,0.996286149,0.132360686,0.008818064,0.011447182
6,2.935657452,1.772470772,0.930549343,0.842933022,0.076363337,0.712929825,0.989366892,0.13447572,0.00587239,0.011252985
7,2.913640352,1.767774223,0.916692902,0.842802149,0.062449336,0.713563412,0.983090224,0.137137426,0.005103747,0.011441417
8,2.89840068,1.764114405,0.907429021,0.841252317,0.054879058,0.713875757,0.978857597,0.13820981,0.004552292,0.011297646
9,2.883611186,1.75930718,0.899443205,0.838369745,0.050127626,0.713715799,0.974545776,0.137858314,0.004232897,0.010945834
10,2.886275275,1.756958757,0.903453214,0.8443457,0.048424883,0.713821023,0.972044324,0.138180595,0.004006224,0.010682632
